,x,y,z,lon,lat,exhumeRate,exRateErr,ageMean,ageMeanSerr
20,667180.3597956009,2014669.2167787533,1846.0,169.8278569128408,-71.90764230534809,44.262168456926354,17.263173023327656,39.785714285714285,4.470081951492748
21,665985.7771941146,1976511.6528783895,733.4285714285714,169.8826718404289,-72.24936710124253,383.26640906358864,910.7382677079027,29.8,2.0856653614614213
22,665985.7771941146,1976511.6528783895,733.4285714285714,169.8826718404289,-72.24936710124253,383.26640906358915,910.7382677079062,29.800000000000004,2.0856653614614213
23,425508.0289874469,1732645.0313796157,1562.857142857143,162.50494486228732,-74.48181101187538,3.035460401519076,360021.7564292005,114.52857142857144,29.27708932226141
24,476375.24490362214,1782928.566230906,655.0,164.2300668705405,-74.0437482325392,137.38496680272908,40.25837820722699,34.34285714285714,3.1137832709588826
25,425801.4571112356,1722607.1922507456,1415.7142857142858,162.50063468626277,-74.57180578185384,17.066551459118116,,88.4857142857143,8.306005531611236
26,425801.4571112356,1722607.1922507456,1267.142857142857,162.50063468626277,-74.57180578185384,21.620257960118163,,81.8,7.538441167648338
27,425801.4571112356,1722607.1922507456,1067.142857142857,162.50063468626277,-74.57180578185384,17.392649924499832,,73.61428571428571,9.030014200574938
28,425801.4571112356,1722607.1922507456,1000.0,162.50063468626277,-74.57180578185384,17.42041338982982,,70.32857142857144,9.968061240680615
29,425801.4571112356,1722607.1922507456,1067.142857142857,162.50063468626277,-74.57180578185384,17.394413525089075,,73.61428571428571,9.030014200574938
30,438566.93251791684,1811591.2713927503,1990.0,163.02940483620986,-73.77910245829162,7.586575109703568,1.911785620261238,134.72857142857143,34.036267171844756
31,425466.33533818973,1730569.4730576803,1247.142857142857,162.500629617789,-74.5003810729597,16.152469735432234,,84.54285714285716,22.185107157546856
32,425466.33533818973,1730569.4730576803,911.4285714285714,162.500629617789,-74.5003810729597,25.079303746599805,,61.25714285714286,12.399997256966998
33,425466.33533818973,1730569.4730576803,1247.142857142857,162.500629617789,-74.5003810729597,16.152469735432234,,84.54285714285716,22.185107157546856
34,425466.33533818973,1730569.4730576803,1247.142857142857,162.500629617789,-74.5003810729597,16.152469735432234,,84.54285714285716,22.185107157546856
35,425466.33533818973,1730569.4730576803,911.4285714285714,162.500629617789,-74.5003810729597,25.082432492728927,,61.25714285714286,12.399997256966998
36,425466.33533818973,1730569.4730576803,911.4285714285714,162.500629617789,-74.5003810729597,25.079303746599805,,61.25714285714286,12.399997256966998
37,425466.33533818973,1730569.4730576803,911.4285714285714,162.500629617789,-74.5003810729597,25.079303746599805,,61.25714285714286,12.399997256966998
38,425466.33533818973,1730569.4730576803,911.4285714285714,162.500629617789,-74.5003810729597,25.079303746599805,,61.25714285714286,12.399997256966998
39,446529.3999291515,1761254.2083696867,1521.4285714285713,163.23690643227155,-74.23229449113074,15.632803375339801,9.176021481017793,80.2,27.062775347768923
40,438566.93251791684,1811591.2713927503,2358.5714285714284,163.02940483620986,-73.77910245829162,7.63958146037196,1.8974132821448522,134.9714285714286,33.918927952831694
41,453031.107796606,1820793.6288824747,2151.4285714285716,163.500552295549,-73.70042089671979,1262.8764686193826,,38.65714285714285,0.5719045636572347
42,438566.93251791684,1811591.2713927503,2358.5714285714284,163.02940483620986,-73.77910245829162,7.63958146036647,1.8974132821431609,134.9714285714286,33.918927952831694
43,438566.93251791684,1811591.2713927503,2358.5714285714284,163.02940483620986,-73.77910245829162,7.63958146036647,1.8974132821431609,134.9714285714286,33.918927952831694
44,438566.93251791684,1811591.2713927503,2330.0,163.02940483620986,-73.77910245829162,7.641287260641912,1.9001071350611134,135.1,33.85734779925917
45,438566.93251791684,1811591.2713927503,2228.5714285714284,163.02940483620986,-73.77910245829162,7.638763678297711,1.9074100282796536,135.62857142857143,33.60816733421544
46,463392.6382753913,1775545.3309627536,1107.142857142857,163.80222310720194,-74.10799654081035,411.1051509750499,173.54115152355723,44.771428571428565,4.809500235680085
47,463392.6382753913,1775545.3309627536,1107.142857142857,163.80222310720194,-74.10799654081035,411.10515097505055,173.54115152355354,44.771428571428565,4.809500235680085
